Asian,Black,Native,White,2+,Hispanic
0.0,0.0,0.0,0.0,0.0,0.0
0.68,36.39,0.47,58.11,2.39,1.97
0.0,0.0,0.0,0.0,0.0,0.0
0.5,19.42,0.63,74.39,3.01,2.06
0.0,0.0,0.0,0.0,0.0,0.0
0.62,3.55,0.96,91.14,1.44,2.29
0.0,0.0,0.0,93.31,0.0,4.6
0.0,0.0,0.0,0.0,0.0,0.0
0.51,24.7,0.77,69.24,2.31,2.47
0.49,28.17,1.07,65.51,2.38,2.38
0.53,0.49,0.0,96.53,1.02,1.44
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.26,0.29,95.29,1.12,2.3
0.0,0.0,0.0,0.0,0.0,0.0
0.66,3.07,0.6,91.91,1.5,2.26
0.97,5.87,0.64,87.48,1.97,3.06
0.91,50.11,0.32,42.1,2.37,4.19
0.72,1.9,0.98,92.38,1.61,2.42
0.0,0.0,0.0,96.0,0.0,0.0
0.48,0.0,0.0,95.56,1.22,2.5
0.0,0.85,0.0,96.13,0.83,1.46
0.0,0.0,1.9,95.06,0.0,0.0
0.68,0.41,0.19,94.25,1.04,3.43
0.71,0.46,1.63,93.5,2.09,1.61
0.5,17.41,0.7,77.17,1.94,2.27
0.58,0.56,0.22,94.93,1.22,2.48
0.6,4.3,0.69,90.61,1.6,2.18
0.97,5.87,0.64,87.48,1.97,3.06
0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.67,0.71,93.96,1.2,2.84
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.56,0.22,94.93,1.22,2.48
0.0,0.0,0.0,94.71,2.12,2.65
0.0,0.0,0.0,0.0,0.0,0.0
0.72,11.61,0.64,82.08,1.99,2.96
0.0,0.0,0.0,95.41,2.3,0.0
0.48,33.47,0.79,60.22,2.56,2.48
0.71,0.73,0.31,94.9,1.23,2.11
0.6,4.3,0.69,90.61,1.6,2.18
0.83,2.59,0.31,92.19,1.42,2.67
0.63,0.0,0.0,95.86,0.95,1.98
0.66,3.07,0.6,91.91,1.5,2.26
0.65,8.65,0.54,85.21,1.82,3.13
0.0,2.04,0.0,93.96,0.98,2.36
0.74,2.69,0.28,92.44,1.35,2.5
0.67,8.82,0.31,86.32,1.65,2.22
0.0,0.0,0.0,96.97,0.88,1.82
0.79,0.0,0.0,95.41,1.26,1.72
0.0,0.0,0.0,97.08,0.0,0.0
0.0,0.0,0.0,96.41,0.0,0.0
2.84,0.0,0.0,93.62,0.0,2.48
0.64,16.22,0.54,78.09,1.81,2.69
0.42,0.21,0.0,94.25,1.04,4.09
0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.38,0.23,95.77,1.1,1.95
0.46,15.75,0.98,78.74,1.85,2.22
5.54,0.65,0.2,90.08,1.3,2.22
0.71,0.73,0.31,94.9,1.23,2.11
0.84,11.89,1.95,80.33,1.89,3.1
0.73,0.35,0.06,96.05,1.05,1.77
0.63,0.0,0.0,95.54,0.86,2.51
0.83,0.8,0.24,94.56,1.26,2.32
0.79,3.72,1.11,90.24,1.83,2.31
0.67,0.3,0.3,95.36,1.45,1.92
0.5,12.07,0.67,82.62,1.82,2.33
0.58,11.25,0.42,83.59,1.83,2.32
0.68,2.0,0.27,92.94,1.33,2.79
0.54,13.23,0.72,81.27,2.0,2.24
0.49,24.69,0.81,69.38,2.34,2.29
0.78,4.24,2.42,88.17,2.01,2.37
0.0,0.0,0.0,0.0,0.0,0.0
0.5,17.47,0.4,77.58,1.93,2.12
0.74,0.12,0.19,94.74,1.43,2.79
0.54,0.62,0.22,94.31,1.41,2.9
0.77,0.97,0.11,94.47,1.19,2.49
0.58,11.53,0.68,83.11,1.76,2.34
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.62,3.55,0.96,91.14,1.44,2.29
0.0,0.0,0.0,93.31,0.0,4.6
0.0,0.0,0.0,0.0,0.0,0.0
0.51,24.7,0.77,69.24,2.31,2.47
0.49,28.17,1.07,65.51,2.38,2.38
0.49,28.17,1.07,65.51,2.38,2.38
0.53,0.49,0.0,96.53,1.02,1.44
0.0,0.0,0.0,0.0,0.0,0.0
0.72,9.7,0.98,84.36,1.65,2.58
0.64,0.45,0.27,95.71,1.13,1.8
0.72,12.38,0.64,82.01,1.84,2.41
0.0,0.0,0.0,93.27,2.36,4.04
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.69,7.83,0.22,87.83,1.5,1.92
0.0,0.0,0.0,93.66,0.99,4.16
0.53,6.77,0.84,87.99,1.9,1.98
0.51,35.6,0.87,57.95,2.55,2.52
0.0,0.0,0.0,80.09,0.0,16.29
0.66,3.43,0.25,91.41,1.38,2.86
0.51,35.6,0.87,57.95,2.55,2.52
0.93,7.9,0.37,87.47,1.64,1.69
0.79,1.16,0.06,94.83,0.93,2.24
0.0,7.47,0.0,86.67,1.6,3.73
0.69,0.0,0.0,93.89,1.83,3.2
0.6,7.13,0.57,87.73,1.59,2.39
4.98,0.0,0.0,60.17,5.39,25.73
0.0,0.0,0.63,95.8,1.68,1.16
0.0,7.47,0.0,86.67,1.6,3.73
0.0,0.0,0.0,0.0,0.0,0.0
0.5,23.11,0.89,70.9,2.19,2.4
0.0,25.19,0.0,69.67,1.26,3.12
0.54,19.02,1.01,74.65,2.19,2.58
0.54,19.02,1.01,74.65,2.19,2.58
0.82,4.59,0.33,90.81,1.39,2.05
0.9,15.76,0.98,74.8,2.02,5.56
0.9,15.76,0.98,74.8,2.02,5.56
0.67,0.3,0.3,95.36,1.45,1.92
0.65,1.11,0.23,94.48,1.35,2.2
0.62,13.63,0.61,80.82,1.87,2.45
0.54,13.23,0.72,81.27,2.0,2.24
1.32,0.0,0.0,94.56,1.65,1.81
1.32,0.0,0.0,94.56,1.65,1.81
0.71,1.29,0.29,93.62,1.36,2.74
1.52,0.0,0.0,95.26,1.35,1.35
0.65,10.45,0.33,82.63,1.85,4.08
0.0,0.0,0.0,0.0,0.0,0.0
1.21,0.47,0.33,93.91,1.62,2.47
0.76,10.54,0.37,84.47,1.37,2.49
0.65,0.39,0.17,95.24,1.22,2.33
0.83,2.59,0.31,92.19,1.42,2.67
0.68,8.76,0.54,85.93,1.68,2.41
0.89,3.02,0.43,91.65,1.46,2.55
0.77,1.83,0.68,92.5,1.65,2.56
0.57,14.62,0.81,79.51,2.03,2.47
7.37,3.08,0.27,72.9,2.0,14.38
0.0,0.0,0.0,98.32,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.78,4.24,2.42,88.17,2.01,2.37
0.69,7.83,0.22,87.83,1.5,1.92
0.68,0.27,0.28,95.3,1.44,2.03
0.61,16.93,4.23,73.57,2.35,2.31
0.0,0.0,0.0,93.67,0.0,4.43
0.54,27.9,0.82,65.58,2.26,2.9
0.93,10.97,0.49,83.22,1.72,2.67
0.0,0.0,0.0,93.27,2.06,4.11
0.55,32.35,1.01,61.11,2.51,2.46
0.0,0.0,0.0,93.13,0.0,6.25
0.59,8.35,0.66,84.27,1.32,4.8
0.64,0.45,0.27,95.71,1.13,1.8
0.61,11.08,0.69,83.03,1.99,2.6
0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.05,0.0,94.27,0.0,0.0
0.77,0.97,0.11,94.47,1.19,2.49
0.94,1.28,0.14,89.39,0.93,7.33
0.83,0.8,0.24,94.56,1.26,2.32
0.0,18.6,0.0,76.74,0.0,0.0
1.32,0.0,0.0,94.56,1.65,1.81
0.5,19.42,0.63,74.39,3.01,2.06
0.0,0.0,0.0,94.48,0.0,4.14
0.0,0.0,0.0,95.56,0.0,2.35
0.64,1.0,0.33,94.54,1.33,2.15
0.59,2.7,0.41,92.21,1.49,2.61
0.58,11.25,0.42,83.59,1.83,2.32
0.54,13.23,0.72,81.27,2.0,2.24
0.62,19.71,0.22,75.45,1.84,2.16
1.27,0.0,0.0,89.48,0.89,7.86
0.0,0.0,0.0,0.0,0.0,0.0
0.45,31.53,0.73,62.25,2.72,2.32
0.68,2.0,0.27,92.94,1.33,2.79
0.64,0.42,0.19,95.43,1.08,2.24
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,94.67,0.0,4.05
0.0,0.0,0.0,0.0,0.0,0.0
0.99,16.14,0.28,79.0,1.53,2.06
0.61,1.41,1.48,90.39,1.75,4.37
1.89,0.52,0.26,93.84,1.23,2.25
0.0,0.0,0.0,92.51,2.84,3.62
0.78,0.0,0.0,92.48,1.19,5.37
0.73,0.35,0.06,96.05,1.05,1.77
0.49,24.69,0.81,69.38,2.34,2.29
0.95,0.74,0.6,91.98,1.66,4.07
0.78,0.0,0.0,95.3,1.37,2.41
0.65,1.62,0.45,93.86,1.29,2.13
0.0,0.0,0.0,0.0,0.0,0.0
0.5,17.47,0.4,77.58,1.93,2.12
0.0,0.0,0.0,0.0,0.0,0.0
0.49,28.17,1.07,65.51,2.38,2.38
0.53,0.49,0.0,96.53,1.02,1.44
0.45,5.12,0.67,89.62,1.35,2.79
6.04,0.0,0.0,89.01,1.47,3.11
